arxiv_id,title,date,abstract
2510.06212,Anonymous Quantum Tokens with Classical Verification,2025-10-07T17:59:02Z,"The no-cloning theorem can be used as a basis for quantum money constructions which guarantee unconditionally unforgeable currency. Existing schemes, however, either (i) require long-term quantum memory and quantum communication between the user and the bank in order to verify the validity of a bill or (ii) fail to protect user privacy due to the uniqueness of each bill issued by the bank, which can allow its usage to be tracked. We introduce a construction of single-use quantum money that gives users the ability to detect whether the issuing authority is tracking them, employing an auditing procedure for which we prove unconditional security. Bill validation is classical, and hence does not require long-term quantum memory or quantum communication, making the protocol relatively practical to deploy. We discuss potential applications beyond money, including anonymous one-time pads and voting."
2510.06196,Optimised spectral purity of unfiltered photons via pump and   nonlinearity shaping,2025-10-07T17:52:16Z,"Photonic quantum technologies rely on the efficient generation and interference of indistinguishable photons. Exceptional achievements in this respect have been obtained by domain engineering of quasi-phase-matched parametric down-conversion sources, demonstrating high two-photon interference visibility using only moderate bandpass spectral filtering. Here, we optimised the spectral purity and indistinguishability of photons from telecom-wavelength sources by combining Gaussian quasi-phase-matching with Gaussian pump spectral shaping. Without spectral filtering, we used time-of-flight spectrometry to estimate an upper bound spectral purity of 99.9272(6)%, and achieved visibilities of up to 98.5(8)% in two-photon interference experiments with independent sources."
2510.06183,Quantum $f$-divergences and Their Local Behaviour: An Analysis via   Relative Expansion Coefficients,2025-10-07T17:44:37Z,"Any reasonable measure of distinguishability of quantum states must satisfy a data processing inequality, that is, it must not increase under the action of a quantum channel. We can ask about the proportion of information lost or preserved and this leads us to study contraction and expansion coefficients respectively, which can be combined into a single \emph{relative expansion coefficient} for study. We focus on two prominent families: (i) standard quantum $f$ divergences and (ii) their local (second-order) behaviour, which induces a monotone Riemannian semi-norm (that is linked to the $\chi^2$ divergence). Building on prior work, we identify new families of $f$ for which the global ($f$ divergence) and local (Riemannian) relative expansion coefficients coincide for every pair of channels, and we clarify how exceptional such exact coincidences are. Beyond equality, we introduce an \emph{equivalence} framework that transfers qualitative properties such as strict positivity uniformly across different relative expansion coefficients.   Leveraging the link between equality in the data processing inequality (DPI) and channel reversibility, we apply our framework of relative expansion coefficients to approximate recoverability of quantum information. Using our relative expansion results for primitive channels, we prove a reverse quantum Markov convergence theorem, converting positive expansion coefficients into quantitative lower bounds on the convergence rate."
2510.06176,An integrated photonic millimeter-wave receiver with sub-ambient noise,2025-10-07T17:40:21Z,"Decades of progress in radiofrequency (RF) transistors and receiver frontends have profoundly impacted wireless communications, remote sensing, navigation, and instrumentation. Growing demands for data throughput in 6G networks, timing precision in positioning systems, and resolution in atmospheric sensing and automotive radar have pushed receiver frontends into the millimeter-wave (mmW) and sub-mmW/THz regimes. At these frequencies, however, the noise performance of field-effect transistors (FETs) degrades rapidly due to parasitic effects, limited carrier mobility, hot electrons, and shot noise. Parametric transducers that couple electromagnetic signals to optical fields offer quantum-limited sensitivity at room temperature. Electro-optic materials enable receivers that convert RF signals into optical phase shifts. While early demonstrations used resonant devices and recent efforts have focused on cryogenic microwave-to-optical quantum transduction, room-temperature electro-optic receivers have yet to achieve noise figures comparable to their electronic counterparts. Here we demonstrate a room-temperature integrated cavity electro-optic mmW receiver on a lithium tantalate (LiTaO3) photonic integrated circuit with 2.5% on-chip photon-number transduction efficiency, achieving 250 K noise temperature at 59.33 GHz--matching state-of-the-art LNAs. We report the first direct resolution of thermal noise in cavity electro-optic transduction, showing the system is fundamentally limited by thermal photon occupation (~100) in the mmW cavity. Our work establishes integrated photonics as a path to surpass electronic LNAs while offering exceptional resilience to strong electromagnetic inputs and immunity to EMI, establishing cavity electro-optics as a low-noise, chip-scale, EMI-resilient receiver frontend for mmW applications and scalable analog processing in the optical domain."
2510.06172,Anchor: Reducing Temporal and Spatial Output Performance Variability on   Quantum Computers,2025-10-07T17:34:22Z,"Quantum computing, which has the power to accelerate many computing applications, is currently a technology under development. As a result, the existing noisy intermediate-scale quantum (NISQ) computers suffer from different hardware noise effects, which cause errors in the output of quantum programs. These errors cause a high degree of variability in the performance (i.e., output fidelity) of quantum programs, which varies from one computer to another and from one day to another. Consequently, users are unable to get consistent results even when running the same program multiple times. Current solutions, while focusing on reducing the errors faced by quantum programs, do not address the variability challenge. To address this challenge, we propose Anchor, a first-of-its-kind technique that leverages linear programming to reduce the performance variability by 73% on average over the state-of-the-art implementation focused on error reduction."
2510.06171,Quantumness and its hierarchies in PT-symmetric down-conversion models,2025-10-07T17:33:45Z,"We investigate the hierarchy of quantum correlations in a quadratic bosonic parity-time-symmetric system (PTSS) featuring distinct dissipation and amplification channels. The hierarchy includes global nonclassicality, entanglement, asymmetric quantum steering, and Bell nonlocality. We elucidate the interplay between the system physical nonlinearity -- which serves as a source of quantumness -- and the specific dynamics of bosonic PTSSs, which are qualitatively influenced by their damping and amplification characteristics. Using a set of quantifiers -- including local and global nonclassicality depths, negativity, steering parameters, and the Bell parameter -- we demonstrate that the standard PTSS typically exhibits weaker quantumness than its counterparts affected solely by damping or solely by amplification. Both the maximum values attained by these quantifiers and the speed and duration of their generation are generally lower in the standard PTSS. A comparative analysis of three two-mode PTSSs -- standard, passive, and active -- with identical eigenvectors and real parts of eigenfrequencies, but differing in their damping and amplification strengths, reveals the crucial role of quantum fluctuations associated with gain and loss. Among them, the passive PTSS yields the most strongly nonclassical states. Nevertheless, under suitable conditions, the standard PTSS can also generate highly nonclassical states. The supremacy of the passive PTSS is further supported by its fundamental advantages in practical realizations."
2510.06159,Batched high-rate logical operations for quantum LDPC codes,2025-10-07T17:26:10Z,"High-rate quantum LDPC (qLDPC) codes reduce memory overhead by densely packing many logical qubits into a single block of physical qubits. Here we extend this concept to high-rate computation by constructing \emph{batched} fault-tolerant operations that apply the same logical gate across many code blocks in parallel. By leveraging shared physical resources to execute many logical operations in parallel, these operations realize high rates in space-time and significantly reduce computational costs. For \emph{arbitrary} CSS qLDPC codes, we build batched gadgets with \emph{constant space-time overhead} (assuming fast classical computation) for (i) single-shot error correction, state preparation, and code surgeries (ii) code switching, and (iii) addressable Clifford gates. Using these batched gadgets we also construct parallel non-Clifford gates with low space-time cost. We outline principles for designing parallel quantum algorithms optimized for a batched architecture, and show in particular how lattice Hamiltonian dynamical simulations can be compiled efficiently. We also propose a near-term implementation using new self-dual Bivariate-Bicycle codes with high encoding rates ($\sim 1/10$), transversal Clifford gates, and global $T$ gates via parallel magic state cultivation, enabling Hamiltonian simulations with a lower space-time cost than analogous surface-code protocols and low-rate qLDPC protocols. These results open new paths toward scalable quantum computation via co-design of parallel quantum algorithms and high-rate fault-tolerant protocols."
2510.06148,General diffraction properties of aperiodic slit arrays,2025-10-07T17:19:36Z,"Fraunhofer diffraction plays a vital role in experimental physics not only because it accurately describes the behaviour of light in the usual propagation limit, but also because it links the diffracted light with the scattering object through one of the most important mathematical transformations in physics: the Fourier transform. Acting as a probe in material characterisation as well as used as a tool for particle trapping or sensing, the pattern of interference maxima resulting from the Fraunhofer diffraction through periodic scattering is an ubiquitous routine. In this paper we analyse the Fraunhofer diffraction resulting from the much less studied aperiodic scatter of the light. We provide general conditions for the experimental observation of the peaks of interference maxima featured into patterns that display periodic structures on a number of distance scales. Our theoretical analysis is supported by thorough experimental demonstrations."
2510.06147,Non-iid hypothesis testing: from classical to quantum,2025-10-07T17:19:26Z,"We study hypothesis testing (aka state certification) in the non-identically distributed setting. A recent work (Garg et al. 2023) considered the classical case, in which one is given (independent) samples from $T$ unknown probability distributions $p_1, \dots, p_T$ on $[d] = \{1, 2, \dots, d\}$, and one wishes to accept/reject the hypothesis that their average $p_{\mathrm{avg}}$ equals a known hypothesis distribution $q$. Garg et al. showed that if one has just $c = 2$ samples from each $p_i$, and provided $T \gg \frac{\sqrt{d}}{\epsilon^2} + \frac{1}{\epsilon^4}$, one can (whp) distinguish $p_{\mathrm{avg}} = q$ from $d_{\mathrm{TV}}(p_{\mathrm{avg}},q) > \epsilon$. This nearly matches the optimal result for the classical iid setting (namely, $T \gg \frac{\sqrt{d}}{\epsilon^2}$). Besides optimally improving this result (and generalizing to tolerant testing with more stringent distance measures), we study the analogous problem of hypothesis testing for non-identical quantum states. Here we uncover an unexpected phenomenon: for any $d$-dimensional hypothesis state $\sigma$, and given just a single copy ($c = 1$) of each state $\rho_1, \dots, \rho_T$, one can distinguish $\rho_{\mathrm{avg}} = \sigma$ from $D_{\mathrm{tr}}(\rho_{\mathrm{avg}},\sigma) > \epsilon$ provided $T \gg d/\epsilon^2$. (Again, we generalize to tolerant testing with more stringent distance measures.) This matches the optimal result for the iid case, which is surprising because doing this with $c = 1$ is provably impossible in the classical case. We also show that the analogous phenomenon happens for the non-iid extension of identity testing between unknown states. A technical tool we introduce may be of independent interest: an Efron-Stein inequality, and more generally an Efron-Stein decomposition, in the quantum setting."
2510.06115,Self-concordant Schrödinger operators: spectral gaps and optimization   without condition numbers,2025-10-07T16:50:42Z,"Spectral gaps play a fundamental role in many areas of mathematics, computer science, and physics. In quantum mechanics, the spectral gap of Schr\""odinger operators has a long history of study due to its physical relevance, while in quantum computing spectral gaps are an important proxy for efficiency, such as in the quantum adiabatic algorithm. Motivated by convex optimization, we study Schr\""odinger operators associated with self-concordant barriers over convex domains and prove non-asymptotic lower bounds on the spectral gap for this class of operators. Significantly, we find that the spectral gap does not display any condition-number dependence when the usual Laplacian is replaced by the Laplace--Beltrami operator, which uses second-order information of the barrier and hence can take the curvature of the barrier into account. As an algorithmic application, we construct a novel quantum interior point method that applies to arbitrary self-concordant barriers and shows no condition-number dependence. To achieve this we combine techniques from semiclassical analysis, convex optimization, and quantum annealing."
